# Runder Stab einfach eingespannt
# Position/m ohneGewicht/mm mitGewicht/mm
 0.449 9.61 5.80
 0.444 9.62 5.88
 0.439 9.62 5.95
 0.434 9.63 6.01
 0.429 9.64 6.05
 0.424 9.64 6.14
 0.419 9.65 6.22
 0.414 9.65 6.26
 0.409 9.66 6.35
 0.404 9.66 6.40
 0.395 9.68 6.52
 0.385 9.69 6.67
 0.375 9.69 6.80
 0.365 9.70 6.90
 0.355 9.70 7.03
 0.345 9.71 7.15
 0.335 9.71 7.27
 0.325 9.70 7.38
 0.315 9.71 7.50
 0.300 9.71 7.68
 0.280 9.72 7.89
 0.260 9.72 8.12
 0.240 9.72 8.33
 0.220 9.72 8.52
 0.200 9.73 8.71
 0.160 9.73 9.04
 0.120 9.71 9.30
 0.080 9.64 9.43
 0.060 9.60 9.46
 0.030 9.54 9.49
