# eckiger Stab einfach eingespannt
# Position/cm ohneGewicht/mm mitGewicht/mm
47.0 10.42 6.87
46.5 10.42 6.92
46.0 10.46 7.01
45.5 10.45 7.05
45.0 10.45 7.12
44.5 10.45 7.18
44.0 10.45 7.23
43.5 10.54 7.36
42.0 10.51 7.51
41.0 10.52 7.60

40.0 10.50 7.68
39.0 10.50 7.79
38.0 10.49 7.89
37.0 10.48 7.98
36.0 10.47 8.07
35.0 10.46 8.17
34.0 10.45 8.28
33.0 10.43 8.35
32.0 10.41 8.44
30.0 10.38 8.61

28.0 10.35 8.75
26.0 10.29 8.89
24.0 10.25 9.03
22.0 10.21 9.15
20.0 10.13 9.23
17.0 10.05 9.37
14.0 9.95 9.46
11.0 9.85 9.53
8.0 9.71 9.54
3.0 9.50 9.46
