Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

26,0	54,0
26,1	49,0
26,2	60,0
26,3	65,0
26,4	75,0
26,5	84,0
26,6	99,0
26,7	118,0
26,8	116,0
26,9	131,0
27,0	149,0
27,1	164,0
27,2	165,0
27,3	188,0
27,4	177,0
27,5	199,0
27,6	196,0
27,7	214,0
27,8	202,0
27,9	208,0
28,0	217,0
28,1	225,0
28,2	234,0
28,3	230,0
28,4	237,0
28,5	223,0
28,6	219,0
28,7	219,0
28,8	208,0
28,9	194,0
29,0	186,0
29,1	165,0
29,2	157,0
29,3	135,0
29,4	118,0
29,5	116,0
29,6	96,0
29,7	75,0
29,8	77,0
29,9	64,0
30,0	51,0
