Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

8,0	26,0
8,4	26,0
8,8	26,0
9,2	35,0
9,6	46,0
10,0	78,0
10,4	92,0
10,8	118,0
11,2	136,0
11,6	145,0
12,0	182,0
12,4	205,0
12,8	214,0
13,2	223,0
13,6	256,0
14,0	247,0
14,4	269,0
14,8	286,0
15,2	306,0
15,6	316,0
16,0	331,0
16,4	337,0
16,7	353,0
17,2	349,0
17,6	365,0
18,0	367,0
18,4	376,0
18,8	372,0
19,2	391,0
19,6	394,0
20,0	402,0
20,4	400,0
20,8	421,0
21,2	389,0
21,6	400,0
22,0	371,0
22,4	369,0
22,8	358,0
23,2	348,0
23,6	342,0
24,0	349,0
24,4	336,0
24,7	320,0
25,2	326,0
25,6	305,0
26,0	274,0
26,4	255,0
26,8	244,0
27,2	229,0
27,6	225,0
28,0	235,0
28,4	218,0
28,8	210,0
29,2	215,0
29,6	208,0
30,0	205,0
30,4	202,0
30,8	180,0
31,2	189,0
31,6	176,0
32,0	174,0
32,4	172,0
32,8	176,0
33,2	174,0
33,6	152,0
34,0	158,0
34,4	142,0
34,8	141,0
35,2	153,0
35,5	136,0
36,0	140,0
36,4	135,0
36,8	133,0
37,2	121,0
37,5	119,0
38,0	116,0
38,4	122,0
38,8	143,0
39,2	797,0
39,5	1196,0
40,0	938,0
40,4	212,0
40,8	158,0
41,2	158,0
41,5	142,0
42,0	135,0
42,4	142,0
42,8	139,0
43,2	181,0
43,6	414,0
44,0	3932,0
44,4	3527,0
44,8	1040,0
45,2	160,0
45,5	129,0
46,0	108,0
46,4	106,0
46,8	89,0
47,2	87,0
47,6	87,0
48,0	82,0
48,4	78,0
48,8	75,0
49,2	69,0
49,5	63,0
50,0	62,0
50,4	65,0
50,8	60,0
51,2	64,0
51,6	66,0
52,0	56,0
