Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

15,0	128,0
15,2	134,0
15,4	138,0
15,6	133,0
15,8	131,0
16,0	136,0
16,2	130,0
16,4	132,0
16,6	131,0
16,7	127,0
17,0	132,0
17,2	128,0
17,4	120,0
17,6	121,0
17,7	121,0
18,0	123,0
18,2	120,0
18,4	132,0
18,6	159,0
18,8	190,0
19,0	229,0
19,2	268,0
19,4	283,0
19,6	294,0
19,8	286,0
20,0	286,0
20,2	285,0
20,4	288,0
20,6	276,0
20,8	280,0
21,0	275,0
21,2	279,0
21,4	268,0
21,6	269,0
21,7	260,0
22,0	254,0
22,2	252,0
22,4	242,0
22,6	234,0
22,8	239,0
23,0	223,0
23,2	222,0
23,4	221,0
23,6	213,0
23,8	215,0
24,0	204,0
24,2	205,0
24,4	199,0
24,6	202,0
24,7	197,0
25,0	191,0
25,2	190,0
25,4	178,0
25,6	166,0
25,8	159,0
26,0	155,0
26,2	144,0
26,4	134,0
26,6	130,0
26,8	128,0
27,0	123,0
