#I/micro A von den Einzelspalten
#Spalt1 Spalt2 Spalt3
6.8e-3 0.0175 0.012
9.6e-3 0.0185 0.015
0.0125 0.016 0.028
0.016 0.011 0.028
0.019 0.007 0.018
0.021 7.2e-3 0.033
0.0225 0.0115 0.041
0.023 0.0195 0.023
0.022 0.027 0.022
0.02 0.028 0.028
0.017 0.024 0.022
0.0135 0.0185 0.038
0.0105 0.012 0.051
0.009 0.0115 0.036
0.01 0.022 0.056
0.0145 0.041 0.081
0.0225 0.063 0.052
0.034 0.076 0.075
0.052 0.072 0.125
0.076 0.05 0.06
0.1 0.027 0.105
0.13 0.023 0.235
0.165 0.07 0.175
0.2 0.21 0.26
0.235 0.42 0.68
0.27 0.76 0.68
0.27 1.05 1.3
0.3 1.45 6.6
0.32 1.75 0.015e3
#0.33 1.8 0.02e3
0.31 1.8 0.014e3
0.31 1.6 0.0045e3
0.29 1.3 0.85
0.27 0.95 0.65
0.24 0.66 0.65
0.21 0.35 0.26
0.18 0.18 0.21
0.16 0.072 0.26
0.13 0.044 0.13
0.095 0.058 0.13
0.07 0.084 0.16
0.053 0.095 0.08
0.036 0.09 0.07
0.024 0.078 0.09
0.017 0.055 0.06
0.013 0.034 0.045
0.0135 0.026 0.065
0.0145 0.0255 0.045
0.016 0.028 0.03
0.019 0.034 0.04
0.021 0.034 0.035
