#U/V I1/mA I2/mA I3/mA I4/mA I5/mA
5 0.014 0.014 0.014 0.013 0.009
10 0.031 0.030 0.036 0.031 0.027
15 0.050 0.050 0.060 0.055 0.045
20 0.076 0.075 0.087 0.080 0.066
25 0.105 0.107 0.121 0.105 0.084
30 0.138 0.136 0.148 0.136 0.106
35 0.173 0.170 0.180 0.165 0.126
40 0.231 0.208 0.216 0.195 0.153
45 0.255 0.248 0.247 0.226 0.175
50 0.297 0.294 0.284 0.254 0.197
55 0.349 0.336 0.326 0.285 0.216
60 0.402 0.382 0.363 0.319 0.234
70 0.509 0.488 0.445 0.379 0.262
80 0.629 0.595 0.537 0.442 0.284
90 0.743 0.698 0.631 0.497 0.298
100 0.842 0.794 0.709 0.540 0.309
110 0.970 0.910 0.791 0.582 0.316
120 1.10 1.02 0.867 0.619 0.322
130 1.23 1.14 0.940 0.648 0.326
140 1.38 1.26 1.01 0.666 0.329
150 1.51 1.38 1.07 0.678 0.331
160 1.66 1.51 1.12 0.688 0.333
170 1.79 1.61 1.19 0.701 0.333
180 1.93 1.71 1.24 0.715 0.329
190 2.07 1.81 1.28 0.730 0.330
200 2.20 1.90 1.31 0.732 0.334
210 2.34 2.00 1.34 0.737 0.338
220 2.47 2.09 1.37 0.741 0.339
230 2.60 2.18 1.38 0.744 0.340
240 2.73 2.26 1.40 0.748 0.341
250 2.85 2.34 1.42 0.751 0.343
