# Spannung/V Strom/nA
-19  -0.025
-18  -0.024
-17  -0.024
-16  -0.022
-15  -0.022
-14  -0.020
-13  -0.020
-12  -0.019
-11  -0.019
-10  -0.016
-9   -0.015
-8   -0.016
-7   -0.014
-6   -0.012
-5   -0.011
-4   -0.011
-3   -0.009
-2   -0.008
-1.8 -0.008
-1.6 -0.008
-1.4 -0.008
-1.2 -0.008
-1.0 -0.007
-0.8 -0.006
-0.6 -0.002
-0.4 -0.002
-0.2 -0.006
0    0.02
0.2  0.12
0.4  0.6
0.6  0.86
0.8  0.95
1.0  1.30
1.2  1.50
1.4  1.60
1.6  1.70
1.8  1.60
2.0  1.80
3    2.25
4    2.50
5    3.80
6    4.20
7    4.60
8    5.00
9    4.20
10   4.80
11   4.60
12   5.00
13   5.60
14   5.40
15   4.60
16   5.40
17   5.10
18   4.90
19   4.80
